Season,Week,Team,Player,Position,PlayerID,GSISID,percentile,pass_att,pass_comp,pass_td,pass_int,pass_yards,pass_longest,rush_att,design_rushes,scrambles,kneels,rush_td,design_rush_td,scramble_td,rush_yards,design_rush_yards,scramble_rush_yards,kneel_rush_yards,rush_longest,targets,catches,rec_td,rec_yards,rec_longest,pass_rush_td,rec_rush_td,pass_rush_yards,rec_rush_yards,fumble,fantasy_pts,fantasy_pts_ppr,fantasy_pts_dk,fantasy_pts_fd
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.68,37.0,25.0,2.0,1.0,276.0,42.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,52.0,29.0,25.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,323.0,52.0,0.0,25.0664,25.08,26.8464,25.68
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.69,37.0,25.0,2.0,1.0,278.0,43.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,53.0,30.0,25.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,325.0,53.0,0.0,25.3,25.32,27.16,26.0
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.7,38.0,25.0,2.0,1.0,280.0,43.0,10.0,6.0,3.0,1.0,1.0,0.0,0.0,54.0,31.0,26.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,328.0,54.0,0.0,25.546,25.56,27.466,26.24
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.71,38.0,25.0,2.0,1.0,282.0,44.0,10.0,6.0,3.0,2.0,1.0,0.0,0.0,55.0,31.0,26.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,331.0,55.0,0.0,25.88,25.8858,27.76,26.4458
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.72,38.0,25.0,2.0,1.0,285.0,44.0,10.0,6.0,3.0,2.0,1.0,1.0,0.0,56.0,32.0,27.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,333.0,56.0,0.0,26.16,26.18,28.1,26.7056
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.73,38.0,26.0,2.0,1.0,287.0,45.0,10.0,6.0,3.0,2.0,1.0,1.0,0.0,57.0,33.0,28.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,335.0,57.0,0.0,26.42,26.44,28.4254,26.9654
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.74,39.0,26.0,2.0,1.0,289.0,45.0,10.0,6.0,3.0,2.0,1.0,1.0,0.0,58.0,34.0,28.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,338.0,58.0,0.0,26.7052,26.72,28.78,27.26
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.75,39.0,26.0,2.0,1.0,292.0,46.0,11.0,7.0,4.0,2.0,1.0,1.0,0.0,59.0,35.0,29.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,341.0,59.0,0.0,26.98,26.985,29.16,27.56
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.76,39.0,26.0,2.0,1.0,294.0,47.0,11.0,7.0,4.0,2.0,1.0,1.0,0.0,60.0,36.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,343.0,60.0,0.0,27.3,27.32,29.44,27.8448
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.77,39.0,26.0,2.0,1.0,297.0,47.0,11.0,7.0,4.0,2.0,1.0,1.0,0.0,61.0,37.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,345.0,61.2300000000005,0.0,27.64,27.6446,29.8,28.18
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.78,40.0,27.0,2.0,1.0,299.0,48.0,11.0,7.0,4.0,2.0,1.0,1.0,0.0,63.0,38.0,31.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,348.0,63.0,0.0,27.9244,27.9444,30.16,28.54
